DonorName,Textbox5,GeographicAreaCode_ISO2,GeographicAreaCode_ISO3,GeographicAreaName,DonorParentName,ReplenishmentCycle,Indicator,TransactionType,SourceCurrency,Year,Month,Amount
Australia,,AU,AUS,Australia,Public Sector,2017-2019,Contribution,USD Equivalent,AUD,2019,Dec,82833766.44
Switzerland,,CH,CHE,Switzerland,Public Sector,2008-2010,Pledge,Source Currency,CHF,2010,Dec,7000000
Iceland,,IS,ISL,Iceland,Public Sector,2008-2010,Contribution,Source Currency,USD,2008,Dec,300000
Belgium,,BE,BEL,Belgium,Public Sector,2014-2016,Pledge,Source Currency,EUR,2013,Jul,38000000
Canada,,CA,CAN,Canada,Public Sector,2006-2007,Contribution,Source Currency,CAD,2007,Dec,125000000
Australia,,AU,AUS,Australia,Public Sector,2011-2013,Pledge,USD Equivalent,AUD,2011,Dec,42150000
Germany,,DE,DEU,Germany,Public Sector,2014-2016,Contribution,USD Equivalent,EUR,2016,Sep,71350912.5
Luxembourg,,LU,LUX,Luxembourg,Public Sector,2006-2007,Contribution,Source Currency,EUR,2006,Dec,2000000
Denmark,,DK,DNK,Denmark,Public Sector,2001-2005,Contribution,Source Currency,DKK,2002,Dec,110000000
Sweden,,SE,SWE,Sweden,Public Sector,2020-2022,Contribution,Source Currency,SEK,2021,Mar,950000000
Japan,,JP,JPN,Japan,Public Sector,2017-2019,Contribution,Source Currency,USD,2017,Aug,42499333
Germany,,DE,DEU,Germany,Public Sector,2011-2013,Pledge,Source Currency,EUR,2012,Dec,200000000
Zimbabwe,,ZW,ZWE,Zimbabwe,Public Sector,2017-2019,Contribution,Source Currency,USD,2019,Dec,175000
Finland,,FI,FIN,Finland,Public Sector,2011-2013,Contribution,Source Currency,EUR,2013,Dec,2000000
Germany,,DE,DEU,Germany,Public Sector,2001-2005,Contribution,USD Equivalent,EUR,2002,Dec,11995200
Uganda,,UG,UGA,Uganda,Public Sector,2017-2019,Pledge,Source Currency,USD,2016,Oct,1500000
Portugal,,PT,PRT,Portugal,Public Sector,2020-2022,Contribution,USD Equivalent,EUR,2022,Jun,128219.26
Portugal,,PT,PRT,Portugal,Public Sector,2017-2019,Pledge,Source Currency,EUR,2018,Jan,12000
Netherlands,,NL,NLD,Netherlands,Public Sector,2017-2019,Contribution,USD Equivalent,EUR,2017,Aug,60300004.68
Canada,,CA,CAN,Canada,Public Sector,2020-2022,Pledge,Source Currency,CAD,2021,Oct,25000000
France,,FR,FRA,France,Public Sector,2001-2005,Contribution,USD Equivalent,EUR,2004,Dec,182066450
Uganda,,UG,UGA,Uganda,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2021,May,98242.39
Australia,,AU,AUS,Australia,Public Sector,2011-2013,Contribution,Source Currency,AUD,2013,Dec,100000000
Cameroon,,CM,CMR,Cameroon,Public Sector,2020-2022,Pledge,Source Currency,XAF,2019,Oct,3000000000
Switzerland,,CH,CHE,Switzerland,Public Sector,2001-2005,Pledge,USD Equivalent,CHF,2002,Dec,2521795.52
United States,"[1,6]",US,USA,United States,Public Sector,2001-2005,Pledge,Source Currency,USD,2003,Dec,322725000
Spain,,ES,ESP,Spain,Public Sector,2008-2010,Contribution,Source Currency,EUR,2010,Dec,103000000
Monaco,,MC,MCO,Monaco,Public Sector,2020-2022,Contribution,USD Equivalent,EUR,2022,Jun,220592.29
United States,,US,USA,United States,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2020,Mar,550000000
Japan,,JP,JPN,Japan,Public Sector,2011-2013,Contribution,USD Equivalent,USD,2013,Dec,122273670
Russian Federation,,RU,RUS,Russian Federation,Public Sector,2011-2013,Pledge,USD Equivalent,USD,2013,Dec,20000000
Portugal,,PT,PRT,Portugal,Public Sector,2001-2005,Contribution,Source Currency,USD,2003,Dec,400000
Azerbaijan,,AZ,AZE,Azerbaijan,Public Sector,2020-2022,Pledge,USD Equivalent,USD,2019,Oct,20000000
China,,CN,CHN,China,Public Sector,2014-2016,Contribution,Source Currency,USD,2014,Aug,5000000
Namibia,,NA,NAM,Namibia,Public Sector,2014-2016,Pledge,USD Equivalent,USD,2014,Jan,250000
Congo,,CG,COG,Congo,Public Sector,2020-2022,Pledge,Source Currency,USD,2019,Oct,5500000
Canada,,CA,CAN,Canada,Public Sector,2020-2022,Pledge,USD Equivalent,CAD,2019,Oct,699443692.67
Portugal,,PT,PRT,Portugal,Public Sector,2008-2010,Contribution,Source Currency,EUR,2010,Dec,1870000
Ireland,,IE,IRL,Ireland,Public Sector,2001-2005,Pledge,Source Currency,EUR,2002,Dec,10000000
Belgium,,BE,BEL,Belgium,Public Sector,2014-2016,Contribution,Source Currency,EUR,2015,Mar,19000000
Germany,,DE,DEU,Germany,Public Sector,2020-2022,Contribution,Source Currency,EUR,2021,May,87500000
Portugal,,PT,PRT,Portugal,Public Sector,2001-2005,Pledge,Source Currency,USD,2005,Dec,1500000
Côte d'Ivoire,,CI,CIV,Côte d'Ivoire,Public Sector,2020-2022,Pledge,USD Equivalent,USD,2019,Oct,1500000
Luxembourg,,LU,LUX,Luxembourg,Public Sector,2008-2010,Pledge,USD Equivalent,EUR,2010,Dec,3169250
Thailand,,TH,THA,Thailand,Public Sector,2017-2019,Pledge,USD Equivalent,USD,2016,Sep,4500000
Thailand,,TH,THA,Thailand,Public Sector,2017-2019,Contribution,Source Currency,USD,2017,Sep,1500000
Japan,,JP,JPN,Japan,Public Sector,2011-2013,Contribution,Source Currency,USD,2013,Dec,122273670
Liechtenstein,,LI,LIE,Liechtenstein,Public Sector,2001-2005,Pledge,Source Currency,USD,2005,Dec,50000
Saudi Arabia,,SA,SAU,Saudi Arabia,Public Sector,2020-2022,Contribution,Source Currency,USD,2021,Jan,5000000
Kuwait,,KW,KWT,Kuwait,Public Sector,2017-2019,Pledge,Source Currency,USD,2017,Dec,500000
Iceland,,IS,ISL,Iceland,Public Sector,2001-2005,Pledge,USD Equivalent,ISK,2004,Dec,206299
Burkina Faso,,BF,BFA,Burkina Faso,Public Sector,2020-2022,Pledge,USD Equivalent,USD,2019,Oct,1000000
Japan,,JP,JPN,Japan,Public Sector,2006-2007,Pledge,Source Currency,USD,2006,Dec,130148228
Romania,,RO,ROU,Romania,Public Sector,2008-2010,Contribution,Source Currency,EUR,2008,Dec,50000
United States,"[6,1]",US,USA,United States,Public Sector,2017-2019,Pledge,Source Currency,USD,2016,Sep,4300000000
Canada,,CA,CAN,Canada,Public Sector,2008-2010,Contribution,USD Equivalent,CAD,2009,Dec,142647198.3
France,,FR,FRA,France,Public Sector,2020-2022,Contribution,Source Currency,EUR,2021,Dec,30000000
Malaysia,,MY,MYS,Malaysia,Public Sector,2008-2010,Contribution,USD Equivalent,USD,2010,Dec,100000
Hungary,,HU,HUN,Hungary,Public Sector,2008-2010,Pledge,USD Equivalent,USD,2008,Dec,20000
European Commission,,,,,Public Sector,2017-2019,Contribution,Source Currency,EUR,2021,Dec,685462
France,,FR,FRA,France,Public Sector,2020-2022,Contribution,Source Currency,EUR,2022,Jun,160000000
Finland,,FI,FIN,Finland,Public Sector,2008-2010,Contribution,Source Currency,EUR,2009,Dec,3500000
United States,,US,USA,United States,Public Sector,2014-2016,Contribution,Source Currency,USD,2018,Nov,-500000
European Commission,,,,,Public Sector,2020-2022,Pledge,USD Equivalent,EUR,2019,Oct,606628798.32
Switzerland,,CH,CHE,Switzerland,Public Sector,2008-2010,Pledge,Source Currency,CHF,2009,Dec,7000000
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2017-2019,Pledge,USD Equivalent,USD,2019,Dec,740000
United Arab Emirates,,AE,ARE,United Arab Emirates,Public Sector,2020-2022,Contribution,USD Equivalent,EUR,2022,Jun,25368113.38
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2011-2013,Contribution,USD Equivalent,USD,2011,Dec,1999982
Germany,,DE,DEU,Germany,Public Sector,2020-2022,Contribution,Source Currency,EUR,2020,Oct,175000000
Luxembourg,,LU,LUX,Luxembourg,Public Sector,2020-2022,Contribution,USD Equivalent,EUR,2022,Feb,3639772.78
Japan,,JP,JPN,Japan,Public Sector,2001-2005,Pledge,Source Currency,USD,2005,Dec,100000000
Belgium,,BE,BEL,Belgium,Public Sector,2006-2007,Pledge,USD Equivalent,EUR,2007,Dec,16551908.85
Sweden,,SE,SWE,Sweden,Public Sector,2011-2013,Pledge,USD Equivalent,SEK,2013,Dec,106230484.2
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2008-2010,Contribution,Source Currency,USD,2009,Dec,4000000
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2001-2005,Contribution,Source Currency,USD,2004,Dec,500000
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2020-2022,Contribution,USD Equivalent,USD,2022,Mar,7466401.19
Denmark,,DK,DNK,Denmark,Public Sector,2006-2007,Pledge,USD Equivalent,DKK,2007,Dec,25905776.99
France,,FR,FRA,France,Public Sector,2014-2016,Contribution,USD Equivalent,EUR,2014,Dec,318700742.5
Finland,,FI,FIN,Finland,Public Sector,2011-2013,Pledge,USD Equivalent,EUR,2011,Dec,5200800
Canada,,CA,CAN,Canada,Public Sector,2020-2022,Pledge,Source Currency,CAD,2019,Oct,930400000
Poland,,PL,POL,Poland,Public Sector,2001-2005,Contribution,Source Currency,USD,2004,Dec,10000
Germany,,DE,DEU,Germany,Public Sector,2017-2019,Contribution,Source Currency,EUR,2019,Jun,65000000
Norway,,NO,NOR,Norway,Public Sector,2011-2013,Contribution,Source Currency,NOK,2013,Dec,450000000
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2014-2016,Contribution,USD Equivalent,USD,2015,Dec,2000000
Norway,,NO,NOR,Norway,Public Sector,2008-2010,Pledge,Source Currency,NOK,2010,Dec,375000000
Romania,,RO,ROU,Romania,Public Sector,2008-2010,Pledge,Source Currency,EUR,2008,Dec,50000
Brazil,,BR,BRA,Brazil,Public Sector,2001-2005,Pledge,USD Equivalent,USD,2004,Dec,50000
Denmark,,DK,DNK,Denmark,Public Sector,2014-2016,Contribution,Source Currency,DKK,2015,Mar,100000000
Denmark,,DK,DNK,Denmark,Public Sector,2006-2007,Contribution,Source Currency,DKK,2007,Dec,140000000
United Kingdom,,GB,GBR,United Kingdom,Public Sector,2001-2005,Contribution,Source Currency,GBP,2003,Dec,25000000
Germany,,DE,DEU,Germany,Public Sector,2020-2022,Contribution,Source Currency,EUR,2020,Nov,150000000
Saudi Arabia,,SA,SAU,Saudi Arabia,Public Sector,2008-2010,Contribution,Source Currency,USD,2009,Dec,6000000
Finland,,FI,FIN,Finland,Public Sector,2011-2013,Contribution,Source Currency,EUR,2011,Dec,4000000
Netherlands,,NL,NLD,Netherlands,Public Sector,2008-2010,Contribution,Source Currency,EUR,2008,Dec,80000000
United States,,US,USA,United States,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2017,Sep,243000000
Barbados,,BB,BRB,Barbados,Public Sector,2001-2005,Pledge,Source Currency,USD,2004,Dec,100000
United Kingdom,,GB,GBR,United Kingdom,Public Sector,2001-2005,Pledge,USD Equivalent,GBP,2002,Dec,78215277.51
Denmark,,DK,DNK,Denmark,Public Sector,2001-2005,Pledge,USD Equivalent,DKK,2005,Dec,22841480.13
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2008-2010,Pledge,USD Equivalent,USD,2010,Dec,2000000
United Kingdom,,GB,GBR,United Kingdom,Public Sector,2014-2016,Pledge,Source Currency,GBP,2013,Dec,1000000000
Germany,,DE,DEU,Germany,Public Sector,2014-2016,Contribution,USD Equivalent,EUR,2016,Mar,71350912.5
France,,FR,FRA,France,Public Sector,2006-2007,Contribution,USD Equivalent,EUR,2007,Dec,389112828.65
Andorra,,AD,AND,Andorra,Public Sector,2001-2005,Contribution,Source Currency,USD,2002,Dec,100000
Qatar,,QA,QAT,Qatar,Public Sector,2020-2022,Contribution,USD Equivalent,USD,2021,Aug,10000000
Portugal,,PT,PRT,Portugal,Public Sector,2001-2005,Contribution,USD Equivalent,USD,2004,Dec,600000
European Commission,,,,,Public Sector,2014-2016,Contribution,Source Currency,EUR,2016,Jan,140000000
Hungary,,HU,HUN,Hungary,Public Sector,2006-2007,Contribution,Source Currency,USD,2006,Dec,13000
Japan,,JP,JPN,Japan,Public Sector,2001-2005,Pledge,Source Currency,USD,2002,Dec,80400337
Sweden,,SE,SWE,Sweden,Public Sector,2008-2010,Pledge,USD Equivalent,SEK,2010,Dec,74041166.89
United Kingdom,,GB,GBR,United Kingdom,Public Sector,2017-2019,Contribution,USD Equivalent,GBP,2019,Sep,392310711
South Africa,,ZA,ZAF,South Africa,Public Sector,2014-2016,Pledge,USD Equivalent,USD,2014,Oct,1500000
Japan,,JP,JPN,Japan,Public Sector,2020-2022,Contribution,USD Equivalent,USD,2019,Nov,1001463
Ireland,,IE,IRL,Ireland,Public Sector,2017-2019,Contribution,Source Currency,EUR,2019,Aug,10000000
Norway,,NO,NOR,Norway,Public Sector,2001-2005,Contribution,Source Currency,NOK,2002,Dec,130000000
Liechtenstein,,LI,LIE,Liechtenstein,Public Sector,2017-2019,Contribution,Source Currency,CHF,2018,Sep,100000
Kuwait,,KW,KWT,Kuwait,Public Sector,2020-2022,Contribution,USD Equivalent,USD,2020,Feb,2000000
Portugal,,PT,PRT,Portugal,Public Sector,2020-2022,Contribution,USD Equivalent,EUR,2021,Nov,386036.5
Namibia,,NA,NAM,Namibia,Public Sector,2011-2013,Contribution,USD Equivalent,USD,2014,Jan,250000
Mexico,,MX,MEX,Mexico,Public Sector,2001-2005,Pledge,USD Equivalent,USD,2005,Dec,100000
Luxembourg,,LU,LUX,Luxembourg,Public Sector,2008-2010,Contribution,USD Equivalent,EUR,2008,Dec,3899250
Spain,[2],ES,ESP,Spain,Public Sector,2008-2010,Pledge,USD Equivalent,EUR,2010,Dec,249008597
India,,IN,IND,India,Public Sector,2020-2022,Contribution,USD Equivalent,USD,2021,Jul,7000000
United States,,US,USA,United States,Public Sector,2017-2019,Contribution,Source Currency,USD,2019,May,500000000
Liechtenstein,,LI,LIE,Liechtenstein,Public Sector,2014-2016,Pledge,Source Currency,CHF,2016,Apr,100000
European Commission,,,,,Public Sector,2017-2019,Contribution,Source Currency,EUR,2017,Dec,150000000
Switzerland,,CH,CHE,Switzerland,Public Sector,2006-2007,Contribution,USD Equivalent,CHF,2007,Dec,5735824.32
United States,,US,USA,United States,Public Sector,2014-2016,Contribution,USD Equivalent,USD,2016,Sep,551282317
France,,FR,FRA,France,Public Sector,2011-2013,Contribution,USD Equivalent,EUR,2013,Dec,435004410.3
Australia,,AU,AUS,Australia,Public Sector,2001-2005,Pledge,Source Currency,AUD,2005,Dec,20000000
France,,FR,FRA,France,Public Sector,2008-2010,Contribution,USD Equivalent,EUR,2008,Dec,446107813.53
Switzerland,,CH,CHE,Switzerland,Public Sector,2011-2013,Contribution,USD Equivalent,CHF,2013,Dec,10624734.38
Switzerland,,CH,CHE,Switzerland,Public Sector,2008-2010,Contribution,Source Currency,CHF,2009,Dec,7000000
United States,"[1,6]",US,USA,United States,Public Sector,2014-2016,Pledge,USD Equivalent,USD,2015,Jan,104721246.21
Germany,,DE,DEU,Germany,Public Sector,2020-2022,Pledge,Source Currency,EUR,2022,Mar,175000000
India,,IN,IND,India,Public Sector,2008-2010,Contribution,Source Currency,USD,2008,Dec,2000000
New Zealand,,NZ,NZL,New Zealand,Public Sector,2001-2005,Contribution,Source Currency,NZD,2004,Dec,1000000
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2014-2016,Pledge,Source Currency,USD,2014,Jan,-6000000
Luxembourg,,LU,LUX,Luxembourg,Public Sector,2001-2005,Contribution,USD Equivalent,EUR,2004,Dec,2235300
Luxembourg,,LU,LUX,Luxembourg,Public Sector,2011-2013,Contribution,USD Equivalent,EUR,2011,Dec,3571750
China,,CN,CHN,China,Public Sector,2008-2010,Contribution,USD Equivalent,USD,2010,Dec,2000000
Germany,,DE,DEU,Germany,Public Sector,2014-2016,Contribution,Source Currency,EUR,2016,Jun,52500000
Russian Federation,,RU,RUS,Russian Federation,Public Sector,2001-2005,Contribution,USD Equivalent,USD,2004,Dec,5000000
France,,FR,FRA,France,Public Sector,2011-2013,Contribution,Source Currency,EUR,2013,Dec,342000000
Belgium,,BE,BEL,Belgium,Public Sector,2017-2019,Contribution,USD Equivalent,EUR,2018,Jun,16833127.65
Slovenia,,SI,SVN,Slovenia,Public Sector,2008-2010,Pledge,USD Equivalent,EUR,2008,Dec,53336
Uganda,,UG,UGA,Uganda,Public Sector,2017-2019,Contribution,Source Currency,USD,2020,Jan,175000
United Kingdom,,GB,GBR,United Kingdom,Public Sector,2014-2016,Contribution,Source Currency,GBP,2015,Sep,100000000
Tunisia,,TN,TUN,Tunisia,Public Sector,2011-2013,Contribution,USD Equivalent,USD,2011,Dec,2000000
Thailand,,TH,THA,Thailand,Public Sector,2017-2019,Pledge,Source Currency,USD,2016,Sep,4500000
Germany,,DE,DEU,Germany,Public Sector,2020-2022,Pledge,Source Currency,EUR,2020,Jun,150000000
Portugal,,PT,PRT,Portugal,Public Sector,2017-2019,Pledge,Source Currency,EUR,2017,Oct,50000
Luxembourg,,LU,LUX,Luxembourg,Public Sector,2020-2022,Contribution,USD Equivalent,EUR,2021,Dec,2205922.9
Japan,,JP,JPN,Japan,Public Sector,2011-2013,Contribution,Source Currency,USD,2012,Dec,342876738
Belgium,,BE,BEL,Belgium,Public Sector,2017-2019,Pledge,USD Equivalent,EUR,2018,Dec,-13466502.12
Uganda,,UG,UGA,Uganda,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2019,Sep,99853.92
Saudi Arabia,,SA,SAU,Saudi Arabia,Public Sector,2001-2005,Contribution,USD Equivalent,USD,2004,Dec,2500000
Germany,,DE,DEU,Germany,Public Sector,2014-2016,Pledge,Source Currency,EUR,2014,Mar,45000000
Zimbabwe,,ZW,ZWE,Zimbabwe,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2017,Dec,100000
Norway,,NO,NOR,Norway,Public Sector,2008-2010,Contribution,Source Currency,NOK,2008,Dec,375000000
Australia,,AU,AUS,Australia,Public Sector,2008-2010,Pledge,USD Equivalent,AUD,2009,Dec,32819700
Russian Federation,,RU,RUS,Russian Federation,Public Sector,2001-2005,Contribution,USD Equivalent,USD,2003,Dec,4000000
Spain,,ES,ESP,Spain,Public Sector,2001-2005,Pledge,Source Currency,EUR,2005,Dec,1000000
Belgium,,BE,BEL,Belgium,Public Sector,2020-2022,Contribution,USD Equivalent,EUR,2020,Dec,16544421.77
Norway,,NO,NOR,Norway,Public Sector,2020-2022,Pledge,USD Equivalent,NOK,2019,Oct,223809367.08
Netherlands,,NL,NLD,Netherlands,Public Sector,2014-2016,Contribution,USD Equivalent,EUR,2015,Jul,72030445
Other Public,,,,,Public Sector,2020-2022,Pledge,USD Equivalent,EUR,2021,Nov,-33088843.54
Luxembourg,,LU,LUX,Luxembourg,Public Sector,2008-2010,Pledge,USD Equivalent,EUR,2008,Dec,3899250
Norway,,NO,NOR,Norway,Public Sector,2020-2022,Contribution,USD Equivalent,NOK,2021,Dec,48272608.58
Norway,,NO,NOR,Norway,Public Sector,2008-2010,Contribution,USD Equivalent,NOK,2008,Dec,52646356.88
Netherlands,,NL,NLD,Netherlands,Public Sector,2014-2016,Contribution,USD Equivalent,EUR,2014,Dec,99619464.5
Saudi Arabia,,SA,SAU,Saudi Arabia,Public Sector,2006-2007,Pledge,Source Currency,USD,2006,Dec,2500000
India,,IN,IND,India,Public Sector,2006-2007,Contribution,Source Currency,USD,2007,Dec,2000000
Netherlands,,NL,NLD,Netherlands,Public Sector,2008-2010,Contribution,USD Equivalent,EUR,2009,Dec,83472000
India,,IN,IND,India,Public Sector,2006-2007,Contribution,Source Currency,USD,2006,Dec,2000000
Romania,,RO,ROU,Romania,Public Sector,2011-2013,Pledge,Source Currency,EUR,2011,Dec,100000
Denmark,,DK,DNK,Denmark,Public Sector,2017-2019,Pledge,USD Equivalent,DKK,2018,Jul,15055.47
Kuwait,,KW,KWT,Kuwait,Public Sector,2008-2010,Contribution,USD Equivalent,USD,2008,Dec,1000000
Netherlands,,NL,NLD,Netherlands,Public Sector,2011-2013,Pledge,USD Equivalent,EUR,2012,Dec,30845000
Switzerland,,CH,CHE,Switzerland,Public Sector,2020-2022,Pledge,Source Currency,CHF,2019,Oct,64000000
Mexico,,MX,MEX,Mexico,Public Sector,2001-2005,Contribution,USD Equivalent,USD,2005,Dec,100000
Japan,,JP,JPN,Japan,Public Sector,2014-2016,Contribution,USD Equivalent,USD,2014,Mar,289024391
South Africa,,ZA,ZAF,South Africa,Public Sector,2011-2013,Contribution,USD Equivalent,ZAR,2013,Dec,1524855.14
China,,CN,CHN,China,Public Sector,2017-2019,Contribution,Source Currency,USD,2017,Nov,6000000
Portugal,,PT,PRT,Portugal,Public Sector,2020-2022,Pledge,Source Currency,EUR,2019,Dec,250000
Belgium,,BE,BEL,Belgium,Public Sector,2017-2019,Pledge,USD Equivalent,EUR,2016,Sep,63965885.07
Russian Federation,,RU,RUS,Russian Federation,Public Sector,2008-2010,Pledge,Source Currency,USD,2009,Dec,57398137.87
Thailand,,TH,THA,Thailand,Public Sector,2011-2013,Pledge,USD Equivalent,USD,2012,Dec,999968
France,,FR,FRA,France,Public Sector,2014-2016,Contribution,Source Currency,EUR,2015,Dec,237500000
Kuwait,,KW,KWT,Kuwait,Public Sector,2020-2022,Pledge,Source Currency,USD,2020,Feb,500000
Germany,,DE,DEU,Germany,Public Sector,2020-2022,Pledge,Source Currency,EUR,2021,Mar,140000000
Namibia,,NA,NAM,Namibia,Public Sector,2014-2016,Pledge,Source Currency,USD,2014,Jun,750000
Benin,,BJ,BEN,Benin,Public Sector,2017-2019,Contribution,Source Currency,USD,2018,Sep,2000000
France,,FR,FRA,France,Public Sector,2001-2005,Pledge,Source Currency,EUR,2005,Dec,150000000
Japan,,JP,JPN,Japan,Public Sector,2020-2022,Contribution,USD Equivalent,USD,2021,Mar,109060000
Portugal,,PT,PRT,Portugal,Public Sector,2001-2005,Pledge,USD Equivalent,USD,2003,Dec,400000
United Arab Emirates,,AE,ARE,United Arab Emirates,Public Sector,2020-2022,Contribution,USD Equivalent,EUR,2021,Feb,4411845.8
Netherlands,,NL,NLD,Netherlands,Public Sector,2008-2010,Contribution,USD Equivalent,EUR,2008,Dec,114192000
United States,"[6,1]",US,USA,United States,Public Sector,2001-2005,Pledge,Source Currency,USD,2005,Dec,415605182.1
United Kingdom,,GB,GBR,United Kingdom,Public Sector,2008-2010,Contribution,Source Currency,GBP,2008,Dec,50000000
United States,"[1,6]",US,USA,United States,Public Sector,2014-2016,Pledge,USD Equivalent,USD,2016,May,243000000
Andorra,,AD,AND,Andorra,Public Sector,2001-2005,Contribution,USD Equivalent,USD,2002,Dec,100000
Iceland,,IS,ISL,Iceland,Public Sector,2006-2007,Pledge,USD Equivalent,USD,2007,Dec,200000
Slovenia,,SI,SVN,Slovenia,Public Sector,2008-2010,Contribution,Source Currency,EUR,2009,Dec,40000
Nigeria,,NG,NGA,Nigeria,Public Sector,2020-2022,Pledge,USD Equivalent,USD,2019,Oct,12000000
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2006-2007,Contribution,Source Currency,USD,2006,Dec,250000
Luxembourg,,LU,LUX,Luxembourg,Public Sector,2001-2005,Contribution,USD Equivalent,EUR,2002,Dec,1037500
Malta,,MT,MLT,Malta,Public Sector,2020-2022,Contribution,Source Currency,EUR,2022,Jan,100000
European Commission,,,,,Public Sector,2014-2016,Contribution,Source Currency,EUR,2016,Sep,53500000
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2017-2019,Contribution,Source Currency,USD,2017,Dec,2000000
Brazil,,BR,BRA,Brazil,Public Sector,2001-2005,Contribution,USD Equivalent,USD,2004,Dec,50000
Italy,,IT,ITA,Italy,Public Sector,2020-2022,Contribution,USD Equivalent,EUR,2021,Dec,322960.54
Japan,,JP,JPN,Japan,Public Sector,2008-2010,Contribution,USD Equivalent,USD,2009,Dec,194426073
New Zealand,,NZ,NZL,New Zealand,Public Sector,2017-2019,Contribution,Source Currency,NZD,2018,Jan,500000
Canada,,CA,CAN,Canada,Public Sector,2008-2010,Pledge,Source Currency,CAD,2010,Dec,150000000
United States,,US,USA,United States,Public Sector,2020-2022,Contribution,Source Currency,USD,2021,Nov,750000000
India,,IN,IND,India,Public Sector,2006-2007,Contribution,USD Equivalent,USD,2006,Dec,2000000
Portugal,,PT,PRT,Portugal,Public Sector,2017-2019,Pledge,USD Equivalent,EUR,2016,Dec,56110.42
India,,IN,IND,India,Public Sector,2017-2019,Contribution,Source Currency,USD,2019,Jun,7000000
Sweden,,SE,SWE,Sweden,Public Sector,2011-2013,Contribution,Source Currency,SEK,2013,Dec,700000000
New Zealand,,NZ,NZL,New Zealand,Public Sector,2001-2005,Contribution,Source Currency,NZD,2003,Dec,1250000
Liechtenstein,,LI,LIE,Liechtenstein,Public Sector,2014-2016,Pledge,USD Equivalent,CHF,2013,Dec,220726.18
Kenya,,KE,KEN,Kenya,Public Sector,2020-2022,Contribution,Source Currency,USD,2021,Dec,2000000
Norway,,NO,NOR,Norway,Public Sector,2001-2005,Contribution,Source Currency,NOK,2004,Dec,125000000
Finland,,FI,FIN,Finland,Public Sector,2011-2013,Pledge,Source Currency,EUR,2013,Dec,2000000
Canada,,CA,CAN,Canada,Public Sector,2001-2005,Contribution,Source Currency,CAD,2005,Dec,140000000
Finland,,FI,FIN,Finland,Public Sector,2011-2013,Pledge,USD Equivalent,EUR,2013,Dec,2621400
Germany,,DE,DEU,Germany,Public Sector,2011-2013,Pledge,Source Currency,EUR,2011,Dec,200000000
South Africa,,ZA,ZAF,South Africa,Public Sector,2008-2010,Contribution,Source Currency,USD,2008,Dec,145985
Liechtenstein,,LI,LIE,Liechtenstein,Public Sector,2017-2019,Pledge,Source Currency,CHF,2018,Aug,100000
Thailand,,TH,THA,Thailand,Public Sector,2001-2005,Contribution,Source Currency,USD,2003,Dec,1000000
Namibia,,NA,NAM,Namibia,Public Sector,2011-2013,Contribution,USD Equivalent,USD,2011,Dec,250000
China,,CN,CHN,China,Public Sector,2006-2007,Contribution,USD Equivalent,USD,2007,Dec,2000000
New Zealand,,NZ,NZL,New Zealand,Public Sector,2001-2005,Contribution,USD Equivalent,NZD,2004,Dec,625200
Ireland,,IE,IRL,Ireland,Public Sector,2008-2010,Contribution,Source Currency,EUR,2014,Sep,1500000
China,,CN,CHN,China,Public Sector,2001-2005,Contribution,Source Currency,USD,2003,Dec,2000000
Chad,,TD,TCD,Chad,Public Sector,2020-2022,Pledge,Source Currency,EUR,2020,Feb,500000
Russian Federation,,RU,RUS,Russian Federation,Public Sector,2006-2007,Contribution,Source Currency,USD,2006,Dec,10000000
Saudi Arabia,,SA,SAU,Saudi Arabia,Public Sector,2011-2013,Pledge,Source Currency,USD,2012,Dec,8300000
Sweden,,SE,SWE,Sweden,Public Sector,2011-2013,Pledge,USD Equivalent,SEK,2011,Dec,87168758.72
Ireland,,IE,IRL,Ireland,Public Sector,2006-2007,Pledge,Source Currency,EUR,2006,Dec,16000000
Germany,,DE,DEU,Germany,Public Sector,2017-2019,Pledge,USD Equivalent,EUR,2021,Apr,-56110425.5
United States,,US,USA,United States,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2019,Dec,540000000
Kuwait,,KW,KWT,Kuwait,Public Sector,2017-2019,Contribution,Source Currency,USD,2019,Jul,500000
Norway,,NO,NOR,Norway,Public Sector,2006-2007,Contribution,USD Equivalent,NOK,2006,Dec,43143593.91
Portugal,,PT,PRT,Portugal,Public Sector,2006-2007,Contribution,USD Equivalent,USD,2006,Dec,2000000
