DonorName,Textbox5,GeographicAreaCode_ISO2,GeographicAreaCode_ISO3,GeographicAreaName,DonorParentName,ReplenishmentCycle,Indicator,TransactionType,SourceCurrency,Year,Month,Amount
Eswatini,,SZ,SWZ,Eswatini,Public Sector,2020-2022,Contribution,Source Currency,USD,2021,Apr,2000000
Germany,,DE,DEU,Germany,Public Sector,2014-2016,Contribution,USD Equivalent,EUR,2015,Jun,67953250
Rwanda,,RW,RWA,Rwanda,Public Sector,2011-2013,Pledge,USD Equivalent,USD,2011,Dec,350000
Australia,,AU,AUS,Australia,Public Sector,2020-2022,Contribution,USD Equivalent,AUD,2020,Dec,13535004.9
Switzerland,,CH,CHE,Switzerland,Public Sector,2001-2005,Pledge,Source Currency,USD,2003,Dec,4405973
Italy,[1],IT,ITA,Italy,Public Sector,2017-2019,Pledge,USD Equivalent,EUR,2016,Sep,157109191.4
New Zealand,,NZ,NZL,New Zealand,Public Sector,2001-2005,Contribution,USD Equivalent,NZD,2005,Dec,810240
Saudi Arabia,,SA,SAU,Saudi Arabia,Public Sector,2017-2019,Pledge,Source Currency,USD,2016,Sep,15000000
Switzerland,,CH,CHE,Switzerland,Public Sector,2001-2005,Contribution,Source Currency,USD,2002,Dec,3072336.83
South Africa,,ZA,ZAF,South Africa,Public Sector,2006-2007,Pledge,Source Currency,ZAR,2006,Dec,1000000
Sweden,,SE,SWE,Sweden,Public Sector,2001-2005,Pledge,Source Currency,SEK,2005,Dec,365000000
Denmark,,DK,DNK,Denmark,Public Sector,2001-2005,Pledge,Source Currency,DKK,2004,Dec,100000000
Uganda,,UG,UGA,Uganda,Public Sector,2017-2019,Contribution,Source Currency,USD,2021,May,98242.39
United States,"[6,1]",US,USA,United States,Public Sector,2014-2016,Pledge,Source Currency,USD,2013,Dec,4002278753.78
Italy,,IT,ITA,Italy,Public Sector,2017-2019,Contribution,USD Equivalent,EUR,2019,Aug,58635394.64
Thailand,,TH,THA,Thailand,Public Sector,2008-2010,Pledge,Source Currency,USD,2008,Dec,1000000
Thailand,,TH,THA,Thailand,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2017,Sep,1500000
Sweden,,SE,SWE,Sweden,Public Sector,2001-2005,Contribution,USD Equivalent,SEK,2005,Dec,49452149.4
Thailand,,TH,THA,Thailand,Public Sector,2011-2013,Contribution,Source Currency,USD,2011,Dec,999973
Liechtenstein,,LI,LIE,Liechtenstein,Public Sector,2006-2007,Contribution,USD Equivalent,USD,2006,Dec,75000
Saudi Arabia,,SA,SAU,Saudi Arabia,Public Sector,2014-2016,Contribution,Source Currency,USD,2014,Jul,9000000
France,,FR,FRA,France,Public Sector,2014-2016,Contribution,Source Currency,EUR,2016,Dec,290685356.63
Ireland,,IE,IRL,Ireland,Public Sector,2001-2005,Contribution,USD Equivalent,EUR,2005,Dec,17111900.01
Saudi Arabia,,SA,SAU,Saudi Arabia,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2018,Nov,2500000
European Commission,,,,,Public Sector,2008-2010,Contribution,USD Equivalent,EUR,2008,Dec,136625000
United Kingdom,,GB,GBR,United Kingdom,Public Sector,2011-2013,Contribution,USD Equivalent,GBP,2012,Dec,404514037.7
United Arab Emirates,,AE,ARE,United Arab Emirates,Public Sector,2020-2022,Contribution,Source Currency,EUR,2021,Dec,23000000
Netherlands,,NL,NLD,Netherlands,Public Sector,2011-2013,Contribution,Source Currency,EUR,2013,Dec,67000000
Iceland,,IS,ISL,Iceland,Public Sector,2014-2016,Contribution,USD Equivalent,USD,2014,Jan,50000
Portugal,,PT,PRT,Portugal,Public Sector,2017-2019,Contribution,USD Equivalent,EUR,2018,Jul,16833.12
European Commission,,,,,Public Sector,2020-2022,Pledge,USD Equivalent,EUR,2022,May,165444217.72
China,,CN,CHN,China,Public Sector,2011-2013,Pledge,Source Currency,USD,2012,Dec,5000000
Singapore,,SG,SGP,Singapore,Public Sector,2001-2005,Pledge,Source Currency,USD,2005,Dec,200000
Kuwait,,KW,KWT,Kuwait,Public Sector,2011-2013,Pledge,USD Equivalent,USD,2011,Dec,500000
Canada,,CA,CAN,Canada,Public Sector,2017-2019,Contribution,Source Currency,CAD,2018,Dec,261666667
Liechtenstein,,LI,LIE,Liechtenstein,Public Sector,2006-2007,Pledge,USD Equivalent,CHF,2006,Dec,39877.18
Ireland,,IE,IRL,Ireland,Public Sector,2008-2010,Pledge,Source Currency,EUR,2008,Dec,25000000
Italy,,IT,ITA,Italy,Public Sector,2001-2005,Pledge,Source Currency,EUR,2005,Dec,100000000
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2006-2007,Pledge,USD Equivalent,USD,2006,Dec,250000
Zimbabwe,,ZW,ZWE,Zimbabwe,Public Sector,2017-2019,Contribution,Source Currency,USD,2017,Dec,100000
Japan,,JP,JPN,Japan,Public Sector,2006-2007,Contribution,Source Currency,USD,2006,Dec,130148228
Burkina Faso,,BF,BFA,Burkina Faso,Public Sector,2020-2022,Contribution,Source Currency,USD,2022,Feb,1000832.15
France,,FR,FRA,France,Public Sector,2014-2016,Contribution,USD Equivalent,EUR,2015,Dec,322777937.5
Rwanda,,RW,RWA,Rwanda,Public Sector,2011-2013,Contribution,Source Currency,USD,2011,Dec,350000
Germany,,DE,DEU,Germany,Public Sector,2014-2016,Pledge,Source Currency,EUR,2015,Aug,10000000
Germany,,DE,DEU,Germany,Public Sector,2006-2007,Contribution,USD Equivalent,EUR,2007,Dec,116680260
Netherlands,,NL,NLD,Netherlands,Public Sector,2001-2005,Contribution,Source Currency,EUR,2005,Dec,46000000
United States,,US,USA,United States,Public Sector,2020-2022,Contribution,USD Equivalent,USD,2021,Nov,750000000
Romania,,RO,ROU,Romania,Public Sector,2008-2010,Contribution,USD Equivalent,EUR,2008,Dec,66670
Liechtenstein,,LI,LIE,Liechtenstein,Public Sector,2008-2010,Contribution,USD Equivalent,USD,2008,Dec,100000
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2008-2010,Pledge,Source Currency,USD,2010,Dec,2000000
Thailand,,TH,THA,Thailand,Public Sector,2001-2005,Pledge,USD Equivalent,USD,2003,Dec,1000000
Brazil,,BR,BRA,Brazil,Public Sector,2001-2005,Contribution,USD Equivalent,USD,2003,Dec,50000
Romania,,RO,ROU,Romania,Public Sector,2008-2010,Pledge,Source Currency,EUR,2010,Dec,50000
Norway,,NO,NOR,Norway,Public Sector,2020-2022,Contribution,Source Currency,NOK,2022,Jun,800000000
Germany,,DE,DEU,Germany,Public Sector,2001-2005,Contribution,Source Currency,EUR,2003,Dec,32500000
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2011-2013,Contribution,Source Currency,USD,2013,Dec,4099981.42
France,,FR,FRA,France,Public Sector,2001-2005,Pledge,Source Currency,EUR,2003,Dec,50000000
Chad,,TD,TCD,Chad,Public Sector,2020-2022,Pledge,USD Equivalent,EUR,2020,Feb,551480.72
France,,FR,FRA,France,Public Sector,2020-2022,Contribution,USD Equivalent,EUR,2020,Dec,161440467.65
Portugal,,PT,PRT,Portugal,Public Sector,2008-2010,Pledge,USD Equivalent,USD,2008,Dec,3000000
Thailand,,TH,THA,Thailand,Public Sector,2006-2007,Contribution,USD Equivalent,USD,2006,Dec,1000000
Norway,,NO,NOR,Norway,Public Sector,2011-2013,Contribution,USD Equivalent,NOK,2011,Dec,75700227.1
Germany,,DE,DEU,Germany,Public Sector,2017-2019,Contribution,USD Equivalent,EUR,2017,Oct,64526989.32
Germany,,DE,DEU,Germany,Public Sector,2017-2019,Contribution,USD Equivalent,EUR,2017,Mar,58915946.77
Uganda,,UG,UGA,Uganda,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2019,May,22632.53
Germany,,DE,DEU,Germany,Public Sector,2011-2013,Contribution,Source Currency,EUR,2012,Dec,200000000
Australia,,AU,AUS,Australia,Public Sector,2017-2019,Contribution,Source Currency,AUD,2020,Jun,400000
Portugal,,PT,PRT,Portugal,Public Sector,2001-2005,Pledge,Source Currency,USD,2004,Dec,600000
Georgia,,GE,GEO,Georgia,Public Sector,2011-2013,Contribution,USD Equivalent,USD,2014,Mar,20000
Liechtenstein,,LI,LIE,Liechtenstein,Public Sector,2001-2005,Pledge,Source Currency,USD,2002,Dec,100000
Zimbabwe,,ZW,ZWE,Zimbabwe,Public Sector,2001-2005,Pledge,USD Equivalent,USD,2003,Dec,158462
Commitments to be personally secured by Bill Gates and Bono with the active support of France for the period 2020-2022,,,,,Public Sector,2020-2022,Pledge,Source Currency,USD,2019,Oct,100000000
France,,FR,FRA,France,Public Sector,2014-2016,Contribution,USD Equivalent,EUR,2017,Jan,26249855.79
Switzerland,,CH,CHE,Switzerland,Public Sector,2008-2010,Pledge,USD Equivalent,CHF,2008,Dec,6688963.21
Luxembourg,,LU,LUX,Luxembourg,Public Sector,2011-2013,Pledge,USD Equivalent,EUR,2011,Dec,3571750
